review_text,stars
Сотрудники хорошийй,5
Очень вкусно и быстро❤️,5
Быстро и вкусно!,5
"В какой-то момент словила гиперфикс на додо и начала очень часто заказывать их пиццу и в один день ко мне приезжает 2 пиццы деревянные из 3, я была в шоке, мне подарили промокод на 2000, я им сразу воспользовалась, потом ту пиццу, которая более менее думала поем на ауыз бекіту после промокода и я сломала зуб🫠 я вообще не думала, что это возможно, 1 ставить не хочу, так как люблю, но теперь я иду вырывать зуб сегодня. Кулейин ба жылайын ба, бир стенкасы прям тусип калды, хотела фото зуба прикрепить, но биртурли болатын сиякты
Но гиперфикс мой, конечно, сразу улетел",3
"Пиццалары өте дәмді ,бізге ұнайды🙌🏼🫶🏻",4
"сотрудник Аяулым хорошо знает свою работу, быстро и вежливо обслужила и все аккуратно упаковала ✨спасибо",5
Всегда вкусная пицца 🍕,5
"Не актуальное время работы, в 8:14 закрыты",1
"Пришел а не работает, написано с 8 а сказали что еще закрыты
Все завтрак накрылся день испорчен",1
Беглан кассир красавчик өз жұмысын четко атқарады👍,5
Очень вкусно,5
"DODO пицца по-прежнему наш фаворит-уровень сервиса, быстрота обслуживания, и всегда вкусно❤️❤️❤️",5
Любим! Спасибо! Оооочень вкусно всегда! Сын от души поиграл в детском уголке. Хотелось бы больше додокоинов))),5
Пиццу Диабло верните,1
Аяулымм лучшая ✨✨,5
"Быстрая доставка, вкусная пицца",5
Күшті,5
"Были в Додо, через кассу самообслуживания, заказали 2 пиццы без лука. Через 10 минут они были готовы, но были с луком. Мы попросили переделать их, но кассир на кассе показала, что они были заказаны с луком, хотя мы заказывали без него. Спустя время они все же решили их переделать, мы подождали еще 15 минут, и пиццы снова были с луком. Мы пошли просить переделку уже во второй раз, и нам снова сказали, что мы заказывали с луком, улыбаясь в лицо, будто в этом есть что-то смешное и забавное. Позже мы позвали менеджера, который не хотел выходить и разбираться с ситуацией. Его зовут Магжан, его сотрудники тоже заняты непонятно чем, на кассе стоят клиенты, ждут пока их обслужат, но им все равно! В итоге мы добились того, чтобы нам приготовили пиццы без лука, но мы потеряли на это в 3 раза больше времени, настроение, нервы, аппетит и впечатления! Сервис на этой точке ужасный. Это было в промежутке с 18:50 по 19:20. Заказ мы сделали в 18:37. То есть ждали свой корректный заказ практически 40 минут и даже не доели его из-за испорченного аппетита. Прошу провести с сотрудниками беседу и тренинг по обслуживанию клиентов!",1
"Это не пицца, а хлеб с сыром.",1
"Раньше эта пиццерия действительно нравилась — часто заказывали и всегда были довольны. Но в последнее время всё сильно испортилось. Пицца стала совершенно не такой.

Кроме того, заметно ухудшился сервис. Когда обращаешься в поддержку, вместо нормального решения проблемы получаешь только стандартные отписки, без какого-либо желания разобраться.",1
"Супер,доставка быстрая!Очень вкусно!",5
"Отвратительный сервис, а специалисты колл-центра - вообще кромешный ужас. Мало того, что они не пытаются решить вопрос, так ещё и во всём пытаются обвинить клиента.",1
"Все вкусно, но на тортиках экономят. 
P.s. додстеры кстати тоже уменьшились. Шринкфляция во всей красе",3
"Быстро привезли , всё супер",5
Любимая пиццерия,5
"Дружелюбный персонал, очень нравится!",5
🇰🇿🦅,5
топ как всегда,5
Как классно жить рядом с Додо Пиццей,5
"Все было вкусно и обожаю ваши морсы, но вот думаю вам стоит поменять картинку на коробочках. Видно что люди кормят только собаку, а кот стоит в углу грустный (по лицу видно). Это дискриминация котов.",4
"Очень вкусно, хорошо отметили день рождения подруги 🩷🩷🩷🩷 пицца вкусная, все быстро и качественно 💘 чистота на высоте, все убрано до идеала. Спасибо большое за хорошее обслуживание!!",5
"Быстро и вкусно , спасибо",5
"Супер! 
Ждём когда почините детскую зону :)",5
"хорошое облуживание и комфортная атмосфера. кассирша Анеля очень дружелюбная и приветливая! заказали сет на выбор, что очень удобно; все позиции были вкусными и сытными. спасибо ДоДо🫶🏻",5
"Вы уволили Михаила за доброту к бездомной собаке ДодоБоня!
«Схожие действия порождают схожие последствия»
БОЙКОТ!!!",1
Быстро и вкусно,5
СОБАКА БЕДНАЯ!!!!!!😭😭😭😭😭😭😭😭😭😭😭😭😭😭,1
"Очень много народу, но касса отправляет людей на заказ через планшеты, можно же разгрузить немного, и еще никто не помогает правильно заказать, из-за этого люди очень долго стоят перед планшетами и мы все вместе стоим разбираемся куда нажимать. Беспредел, тем более что сами планшеты долго думают. Исправьте ситуацию, зачем тогда люди на кассе стоят? Или помощник нужен к планшетам",1
Очень вкусно готовит,5
"сервис вышка, доволен",5
"Пицца не соответствует размеру и подгоревшая , фри размякший и подгоревший",1
вкусно было,5
Всегда вежливый персонал! Уютная атмосфера! Пицца очень вкусная! Песто с креветками 💥,5
Лучшие!,5
"Спасибо за быструю доставку! Горячая, вкусная!",5
Очень вкусная пицца❤️ девочки на кассе очень милые,5
"Не берите эти булочки-бруслетики, из теста для пиццы, приготовят подгоревшие( невкусные бруслетики)🤭",4
пиццасы күшті ұнады асіресе кассадағы қыз адемы екен😍,5
очень вкусно😋,5
Здесь очень вкусно как и во всех додо. Ходим с детьми часто,5
"Спасибо, как всегда очень вкусно",5
Всегда быстро доставляют,5
Вкусная,5
"Были сегодня с подругой. Приятная, уютная атмосфера. Очень вкусно готовят. Приятный, приветливый персонал. Рядом со столиками есть розетки, можно подзарядить телефоны. Отличное место.",5
"Все чисто, девушка на кассе вежливая.",5
"Вкусная пицца, быстрое обслуживание! Спасибо 
Додо лучшие",5
"Всегда очень вкусно!
А сегодня ещё и заботливая Аяулым на выдаче заказов! 
Спасибо за прекрасный сервис, если пицца, то только Додо!",5
"Девочка на кассе очень была доброжелательная,жаль имя не знаю , ребенку сок подогрела",5
"мало сыра, одно тесто👎👎",1
Как всегда на высоте,5
Пенивайз,5
"Лучшее место в Казахстане, чудо инженерии, лучшее изобретение человека 👍👍👍 пеннивайз 🔥🔥🔥💥💥💥",5
соска соска соска,5
Вкусно 😘,5
"Кассир Сания Крутая, вежливая девушка 🫶🏻",5
Пицца очень вкусная и горячая. Спасибо за быструю доставку❤️,5
Пиццы всегда балдееееж😍 курьер душка🥹,5
Круто все ✊🏾,5
Мы заказалый 30см нам дали 10см вообще ужасный оченнь маленький,1
"Вкусно, быстро ❤️",5
Очень хороший курьер пришел!,5
курьер Жадра быстрее ветра. Вкус и качество - стабильно супер! Спасибо!,5
Очень вкусно готовить и быстро. Обслуживание высшее. Спасибо ребята.,5
